#HSFID	HSFTAG	Desig	JTAG	Ship	LDate	EDate	Dur	Crew	Callsign	Station	Program	Project	OrbID	DS	SSF
# Updated 2021 Dec 20 03:48:53
H00120	STS51G	1985-048	S15823	STS 51-G	1985 Jun 17 1133:00	1985 Jun 24 1311:52	    7:01:38:52	   7	Discovery	-	NASA	STS	ORB104	   0	   0
HA0010	STS51F1	1985-A26	L80530	STS 51-F	1985 Jul 12 2030:00	1985 Jul 12 2030:00	    0:00:00:00	   7	Challenger	-	NASA	STS	-	   0	   0
H00121	STS51F	1985-063	S15925	STS 51-F	1985 Jul 29 2100:00	1985 Aug  6 1945:26	    7:22:45:26	   7	Challenger	-	NASA	STS	ORB105	   0	   0
H00122	STS51I	1985-076	S15992	STS 51-I	1985 Aug 27 1058:01	1985 Sep  3 1315:43	    7:02:17:42	   5	Discovery	-	NASA	STS	ORB106	   0	   0
H00123	T14	1985-081	S16051	Soyuz T-14	1985 Sep 17 1238:52	1985 Nov 21 1031:00	   64:21:52:08	   3	Cheget	Salyut-7	RU	Soyuz	ORB107	   0	  41
H00124	STS51J	1985-092	S16115	STS 51-J	1985 Oct  3 1515:30	1985 Oct  7 1700:08	    4:01:44:38	   5	Atlantis	-	NASA	STS	ORB108	   0	   0
H00125	STS61A	1985-104	S16230	STS 61-A	1985 Oct 30 1700:00	1985 Nov  6 1744:51	    7:00:44:51	   8	Challenger	-	NASA	STS	ORB109	   0	   0
H00126	STS61B	1985-109	S16273	STS 61-B	1985 Nov 27 0029:00	1985 Dec  3 2133:49	    6:21:04:49	   7	Atlantis	-	NASA	STS	ORB110	   0	   0
H00127	STS61C	1986-003	S16481	STS 61-C	1986 Jan 12 1155:00	1986 Jan 18 1358:51	    6:02:03:51	   7	Columbia	-	NASA	STS	ORB111	   0	   0
HA0011	STS51L	1986-F01	F00994	STS 51-L	1986 Jan 28 1638:00	1986 Jan 28 1642:46	    0:00:04:46	   0	Challenger	-	NASA	STS	-	   0	   0
H00128	T15	1986-022	S16643	Soyuz T-15	1986 Mar 13 1233:09	1986 Jul 16 1234:05	  125:00:00:56	   2	Mayak	Salyut-7	RU	Soyuz	ORB112	   0	  42
H00129	TM2	1987-013	S17482	Soyuz TM-2	1987 Feb  5 2138:16	1987 Jul 30 0104:12	  174:03:25:56	   2	Taimyr	Mir	RU	Soyuz	ORB113	   0	  43
